eje_x,collagen,collagen.,glycogen,glycogen.,lipids,lipids.,dna,dna.,ibuprofen,ibuprofen.,acetylsalicylic-acid,acetylsalicylic-acid.,paracetamol,paracetamol.
1,-0.0008693662206307,-0.000817166215569,-0.0013199747706622,-0.0013869658738602,-0.0009036569776728,-0.0009168230614005,-0.000760324274579,-0.0007350585048224,,,,,,
2,-0.0010259828154849616,-0.0009385618023067772,-0.0016736931451413598,-0.0017987816584933607,-0.0010906501838678312,-0.0010903974697152937,-0.0009100158182962849,-0.0008898255697352963,,,,,,
3,-0.0010942998094098438,-0.0009805806544858223,-0.0016609963334893493,-0.00180442365118111,-0.0012350096711134003,-0.0012090638219693591,-0.0010085961705128832,-0.0009795059431332654,,,,,,
4,-0.0011189203999315894,-0.0009821522288134168,-0.0015464318476561933,-0.0016881432650355072,-0.001336735439409448,-0.0012837109125799523,-0.0010634368510398103,-0.0010241059640451098,,,,,,
5,-0.001127053077940787,-0.0009711431172912446,-0.0015103243753177029,-0.0016434091892714093,-0.0013862241882871464,-0.0013147998765511617,-0.0010747265016151349,-0.0010330944771887915,,,,,,
6,-0.0010340619747460835,-0.0009151143849507556,-0.001295566790812403,-0.001386995587518711,-0.0012713569330530079,-0.0012075921537685018,-0.0009725560828874936,-0.0009322613894424644,,,,,,
7,-0.0009581529471997042,-0.0008790030490651048,-0.0011964262670853462,-0.0012571391520278597,-0.0012020714070485202,-0.0011380002662451838,-0.0008943431035453692,-0.0008587096730990493,,,,,,
8,-0.0009319948436737166,-0.0008870167861006607,-0.0011236183072808317,-0.0011651138789950586,-0.0012274967845171438,-0.0011452056726378647,-0.0008710310041564339,-0.0008392916520888794,,,,,,
9,-0.0009596652131274433,-0.0009421912383457729,-0.001039878394241993,-0.0010676909339355548,-0.0012943997869783149,-0.0011918508115107758,-0.0009046375811569465,-0.0008759528456076666,,,,,,
10,-0.0010037136304301612,-0.001016896214799707,-0.0009413425613514043,-0.0009355990784872112,-0.0011020639177491663,-0.0010591174404465848,-0.0009521587061465899,-0.0009322317783033,,,,,,
11,-0.0011295820026551151,-0.001149642123351203,-0.0010312521815340676,-0.0010166712534328934,-0.001150194177779879,-0.001129899130581183,-0.0011015304207631854,-0.00108299710926009,,,,,,
12,-0.001231299946995009,-0.0012212736984481445,-0.0010982132121035617,-0.001083255090315774,-0.0011941742563656385,-0.0011881233948588146,-0.0011997497681156585,-0.0011861534795727328,,,,,,
13,-0.0012488830866909273,-0.0012072422416759957,-0.0010887494058875072,-0.0010729693334149068,-0.001154390005401732,-0.0011678760417728497,-0.0012034982808047567,-0.0011969336596066643,,,,,,
14,-0.001102055029014971,-0.0011068574295659784,-0.0009801073337260243,-0.000951237623491907,-0.000967396799206701,-0.0010223798465677785,-0.001087071524580253,-0.001082030838686486,,,,,,
15,-0.0010310572330607876,-0.0010656606809095893,-0.0009711089251819737,-0.0009365171427710587,-0.0009033157046125422,-0.0009751560257283351,-0.0010509659391203321,-0.0010419939677304103,,,,,,
16,-0.0010052539706015941,-0.0010563817061889167,-0.0009541905457124842,-0.0009123543718518575,-0.0008336919917293054,-0.0009165439388479748,-0.00102759638535607,-0.0010216611494328067,,,,,,
17,-0.0009860119471414804,-0.0010527039111191733,-0.0009347049452796989,-0.0008871484885351814,-0.0007789220879331554,-0.000864308943548741,-0.0010047052985640546,-0.0010022727395618263,,,,,,
18,-0.0009359261696522735,-0.00103055428470757,-0.0009293757505712291,-0.0008816317529179021,-0.0007736195452592487,-0.0008491376422790188,-0.0009769665975721156,-0.0009705472303131876,,,,,,
19,-0.0010631771529714662,-0.0011752951765871922,-0.0010304381432795604,-0.0009826431717901377,-0.0008965007950445635,-0.0009614504947179848,-0.0010981454662955992,-0.0011018647399362812,,,,,,
20,-0.0010959950514913186,-0.0012065921860088778,-0.001053863194766519,-0.0010059175920839156,-0.0009105704295351134,-0.0009770858799624934,-0.0011259361315610734,-0.0011326377133973186,,,,,,
21,-0.0010911007829020824,-0.001212612602821811,-0.0010308013784982666,-0.0009833344510685681,-0.0008975550450100307,-0.0009624549240395725,-0.0011106079513688667,-0.0011203840291965923,,,,,,
22,-0.0010867077757883,-0.0012414140105223665,-0.0009902398433419975,-0.0009438133629439,-0.0009213728149872164,-0.0009700980796039922,-0.0010909843569362999,-0.0011075718273008692,,,,,,
23,-0.0010867077757883,-0.00121573417486636,-0.0009927664031597401,-0.0009438133629439,-0.0010602820538749603,-0.0010670955430740398,-0.0011076167506826903,-0.0011263314715327726,,,,,,
